median_household_income,median_home_value,median_gross_rent,population,median_year_built_neighborhood,mean_commute_time,zip,vacancy_rate,pct_bachelors_plus,poverty_rate,homeownership_rate
162917.0,662200.0,1960.0,28650.0,1985,10714.0,19355,0.048666948793906095,0.36571512510404935,0.043141361256544504,0.7192170818505338
87292.0,291800.0,1273.0,6181.0,1991,2880.0,19362,0.021080368906455815,0.13212830957230143,0.1101763468694386,0.8524001794526693
104318.0,341900.0,1217.0,17929.0,1987,7841.0,19363,0.04786297422762931,0.1821827801006912,0.13068213508840426,0.7153665097511769
92137.0,300000.0,1256.0,7477.0,1984,3524.0,19365,0.0237757274662882,0.19111111111111112,0.10485488832419419,0.7415485278080698
,,,186.0,-666666666,94.0,19369,0.0,0.7559055118110236,0.46236559139784944,0.44680851063829785
120172.0,292900.0,2061.0,2294.0,1987,1142.0,19372,0.0,0.35002721829069133,0.013077593722755012,0.4800910125142207
208920.0,710500.0,,2288.0,1991,1110.0,19373,0.029870129870129825,0.4507042253521127,0.0021853146853146855,1.0
,288800.0,954.0,732.0,1954,232.0,19374,0.11567164179104472,0.10315186246418338,0.3756830601092896,0.729957805907173
122876.0,530400.0,1820.0,50093.0,1982,20357.0,19380,0.03704048394602144,0.3925616427059567,0.04831014313377119,0.727457233980864
126159.0,542400.0,1788.0,53035.0,1979,22233.0,19382,0.041334067345628056,0.3831130453470879,0.07621382106156312,0.7156529645403646
114403.0,377700.0,1221.0,12049.0,1992,5045.0,19390,0.04487179487179482,0.26127954165671996,0.06722549589177525,0.8053691275167785
68646.0,225700.0,1392.0,43099.0,1958,19271.0,19401,0.07912919499890325,0.18194640338504936,0.1703983851133437,0.44179122253319836
101996.0,355700.0,1640.0,43967.0,1977,18731.0,19403,0.037880324543610566,0.2889797599435161,0.050970045716105264,0.7339377009434459
78777.0,314700.0,1483.0,5167.0,1947,2384.0,19405,0.11087144089732526,0.2853841709994223,0.16779562608863943,0.49296458030082485
109944.0,393600.0,1983.0,29388.0,1976,12623.0,19406,0.06833086524222554,0.3885732323232323,0.037668436096365866,0.5181653042688465
153344.0,572600.0,2151.0,20068.0,1983,6488.0,19422,0.028487590169947397,0.3811729494762346,0.04125971696232809,0.7932292977598792
210227.0,621700.0,2460.0,17071.0,2001,5889.0,19425,0.024682651622002783,0.42058165548098436,0.012770195067658602,0.9025668835864064
151030.0,471200.0,1932.0,43284.0,1992,15694.0,19426,0.03232880588568199,0.31834944682547595,0.030773495980038812,0.8795233569705387
116566.0,445900.0,1900.0,20225.0,1967,9417.0,19428,0.06130382775119614,0.37541716516592155,0.04469715698393078,0.5233089094191357
109375.0,235000.0,,82.0,1964,48.0,19435,0.4130434782608695,0.2033898305084746,0.0,0.7777777777777778
57125.0,,3501.0,544.0,1974,0.0,19436,0.0,0.3474264705882353,0.23345588235294118,0.2016348773841962
210134.0,,,625.0,1983,126.0,19437,0.0,0.40476190476190477,0.0032,1.0
138955.0,455100.0,1697.0,25184.0,1989,10264.0,19438,0.025699958211450102,0.3256450351837373,0.05856893265565438,0.7979841303881622
101654.0,413100.0,1391.0,19650.0,1977,8919.0,19440,0.03457760314341851,0.3240202652361794,0.04071246819338423,0.6493013159679827
,,,0.0,-666666666,0.0,19442,,,,
153647.0,497800.0,2178.0,11070.0,1974,4541.0,19444,0.05135760892443697,0.31694058154235144,0.015447154471544716,0.7767916574217884
103875.0,415400.0,1738.0,61608.0,1977,24607.0,19446,0.03082095825161113,0.2922766838689672,0.062086092715231786,0.6647668607772684
73826.0,255600.0,1761.0,1421.0,1959,672.0,19453,0.06580645161290322,0.23983739837398374,0.05277973258268825,0.6035911602209945
114323.0,438200.0,1762.0,28141.0,1986,12043.0,19454,0.016143417766678603,0.2970589660351761,0.04967840517394549,0.7884144683165624
,587500.0,,192.0,1957,61.0,19456,0.0,0.37748344370860926,0.0,0.9285714285714286
120472.0,426000.0,1622.0,43927.0,1980,18016.0,19460,0.04385360944865213,0.3505135152164325,0.049309080975254396,0.6950645322107128
133942.0,452400.0,1771.0,16215.0,1965,6858.0,19462,0.020726945028537114,0.2890565397982538,0.03965464076472402,0.7676380368098159
76338.0,231700.0,1226.0,48084.0,1959,20609.0,19464,0.06935201401050783,0.17867964374253972,0.14193910656351386,0.6522931340394645
106167.0,383300.0,1421.0,18309.0,1975,7532.0,19465,0.03845126835781043,0.2602657004830918,0.04298432464907969,0.8008886420438767
106261.0,383500.0,1688.0,28050.0,1992,12672.0,19468,0.04437716262975777,0.3185143500281373,0.0596078431372549,0.7657282520141215
111000.0,440000.0,,55.0,1964,21.0,19472,0.42105263157894735,0.0,0.0,1.0
135386.0,454500.0,1400.0,17731.0,1990,7599.0,19473,0.030289663284811086,0.349155069582505,0.06626811798544921,0.8764215314632298
,327000.0,,286.0,1990,157.0,19474,0.0,0.2967479674796748,0.0,1.0
92140.0,362900.0,948.0,12382.0,1968,4757.0,19475,0.05025223127667833,0.35332081670969256,0.13568082700694556,0.7084780388151175
,,,85.0,-666666666,0.0,19477,0.0,0.6,0.0,1.0
250001.0,1213800.0,,433.0,1993,159.0,19490,0.27184466019417475,0.13846153846153847,0.0,1.0
55517.0,435200.0,2646.0,766.0,1970,139.0,19492,0.0,0.14977973568281938,0.07571801566579635,0.23155737704918034
100882.0,345800.0,1063.0,5327.0,1979,2446.0,19504,0.06980880391285016,0.208594881699662,0.012765158625868219,0.9369024856596558
76036.0,247500.0,1146.0,15420.0,1964,6887.0,19512,0.04118346714243237,0.16445623342175067,0.07354085603112841,0.727554659637153
98882.0,403600.0,1111.0,6324.0,1977,2709.0,19520,0.02330173775671407,0.23809523809523808,0.036211258697027196,0.8164173069146785
145014.0,392500.0,1117.0,17859.0,1996,7845.0,19525,0.031154649108720123,0.31829310947883876,0.0402038188028445,0.931377424167081
111917.0,335200.0,1273.0,6172.0,1998,2529.0,19543,0.04096385542168679,0.2353823088455772,0.07161373946856772,0.8628140703517588
76328.0,266500.0,1305.0,15936.0,1965,7562.0,19703,0.041608096710711306,0.2190161654788806,0.08634538152610442,0.5341742446465239
172161.0,534300.0,2230.0,17366.0,1984,6009.0,19707,0.047201210287443285,0.34639707106007656,0.0195784866981458,0.8628135916163862
94455.0,376300.0,1516.0,49113.0,1977,20693.0,19711,0.07930348741329973,0.29312292150341973,0.1441166289984322,0.654567484985776
133941.0,436200.0,1736.0,21971.0,1960,8368.0,19803,0.01988764044943825,0.3201581027667984,0.024168221746848118,0.9003783102143758
156905.0,895400.0,1600.0,7763.0,1967,2991.0,19807,0.07212168895882509,0.35017932833387677,0.10343939198763365,0.6873940079140758
110486.0,420300.0,1517.0,25859.0,1967,9752.0,19810,0.036454545454545406,0.27845665852009777,0.04706291813295178,0.7954524011699217
84608.0,296000.0,1413.0,45698.0,1987,18964.0,21921,0.06862953892024282,0.1827673784215972,0.13348505405050548,0.6833590579088779
